gid,barrio,plaza,nro_piq,calle,altura,artefacto,lampara,potencia,soporte,columna,tulipa,portaeq,lng,lat
3984,ANTARTIDA ARGENTINA,,61,SUIZA,3079,Sin Dato,LED,150,BRAZO,PM,NO,NO,-588.133.295.909.880.000,-274.756.059.462.795.000
3985,ANTARTIDA ARGENTINA,,63,SUIZA,3137,Sin Dato,LED,150,SUSPENSION,NINGUNA,NO,NO,-588.126.043.696.195.000,-274.757.263.252.075.000
3987,ANTARTIDA ARGENTINA,,65,SUIZA,3201,Sin Dato,LED,150,SUSPENSION,NINGUNA,SI,NO,-588.122.957.644.335.000,-274.757.966.270.754.000
3988,ANTARTIDA ARGENTINA,,66,SUIZA,3247,Sin Dato,LED,150,SUSPENSION,NINGUNA,NO,NO,-588.119.921.296.877.000,-274.758.519.547.653.000
3989,ANTARTIDA ARGENTINA,,67,SUIZA,3250,Sin Dato,LED,150,BRAZO,H°A°,SI,NO,-588.117.294.925.442.000,-274.758.969.060.866.000
3990,ANTARTIDA ARGENTINA,,68,SUIZA,3302,Sin Dato,LED,150,SUSPENSION,ACERO,SI,NO,-588.114.304.598.479.000,-274.759.715.779.727.000
3991,ANTARTIDA ARGENTINA,,69,SUIZA,3334,Sin Dato,LED,150,MENSULA,PM,NO,NO,-588.111.559.360.227.000,-274.760.035.559.440.000
3992,ANTARTIDA ARGENTINA,,70,SUIZA,3335,Sin Dato,LED,150,MENSULA,PM,NO,NO,-588.108.641.403.514.000,-274.760.761.432.702.000
154535,PIO X,,1,NUÑEZ CABEZA DE VACA,1100,PHILIPS,LED,76,R8,,,,-588.396.191.596.982.000,-274.912.045.519.163.000
151131,LIBERTAD,,88,BOLIVAR,2200,PHILIPS,LED,76,LMS,,,,-588.220.813.161.099.000,-274.724.098.030.314.000
157283,VILLA CELIA,,2,ECUADOR,3700,PHILIPS,LED,76,R8 CON BRAZO CORTO,,,,-588.046.042.621.133.000,-274.741.492.330.101.000
154565,LIBERTAD,,114,PJE. LAFONT,,PHILIPS,LED,76,R8,,,,-588.228.121.291.026.000,-274.742.358.841.535.000
159072,SAN GERONIMO,,110,RIO CUARTO,4900,PHILIPS,LED,76,R8 BRAZO CORTO,,,,-587.888.824.939.725.000,-274.674.712.794.014.000
154575,LA ROSADA,,19,PJE. LA ROSADA,1800,PHILIPS,LED,76,POSTE DE MADERA,,,,-588.265.837.234.318.000,-27.464.594.682.013.100
157294,UNIVERSITARIO,,4,GORRITI,1000,PHILIPS,LED,76,R8 CON BRAZO CORTO,,,,-587.893.961.369.988.000,-27.477.540.556.971.300
146633,SAN BENITO,,23,JORGE M. ROMERO,380,AL400,LED,150,JIRAFA DOBLE,ACERO,SI,SI,-588.485.768.743.202.000,-274.835.096.357.064.000
146634,SAN BENITO,,22,JORGE M. ROMERO,368,AL400,LED,150,JIRAFA DOBLE,ACERO,SI,SI,-588.487.935.130.942.000,-274.833.770.909.987.000
146637,SAN BENITO,,19,JORGE M. ROMERO,318,AL400,LED,150,JIRAFA DOBLE,ACERO,SI,SI,-58.849.432.223.949.400,-274.829.728.286.345.000
