id_calles,nombre_calles,tipo_calle,tipo_calzada,limite,longitud,altur_par,altur_impar,the_geom_calles,sentido_circulacion,nro_ordenanza,cordones,id_barrios
3164,FRANCISCO PIZARRO,CALLE,RIPIO,NO,87.73,3600.0,3601.0,"LINESTRING (5613797.191685438 6958816.643253624, 5613812.196369035 6958903.076962443)",SUR A NORTE,4297/85,1,103
25742,FRANCISCO PIZARRO,CALLE,RIPIO,NO,89.50,,,"LINESTRING (5613827.730637287 6958991.216055019, 5613812.196369035 6958903.076962443)",SUR A NORTE,S/D,,103
25743,FRANCISCO PIZARRO,CALLE,RIPIO,NO,172.06,,,"LINESTRING (5613797.191685438 6958816.643253624, 5613767.76252003 6958647.118058555)",SUR A NORTE,S/D,,103
25296,ARMANDO CARMELO ROMERO,AVENIDA,PAVIMENTO,SI,93.67,5850.0,5851.0,"LINESTRING (5624480.0539128315 6959119.395660861, 5624480.119980043 6959119.405380812, 5624573.122618696 6959130.0342538)",AVENIDA,4023,10,0
25301,ARMANDO CARMELO ROMERO,AVENIDA,PAVIMENTO,SI,58.69,5850.0,5851.0,"LINESTRING (5623275.261306236 6959317.557941531, 5623332.801557387 6959306.008643809)",AVENIDA,4023,10,0
25304,ARMANDO CARMELO ROMERO,AVENIDA,PAVIMENTO,SI,121.38,5850.0,5851.0,"LINESTRING (5622790.888380028 6959432.577531375, 5622841.999012127 6959413.926784127, 5622900.779364019 6959398.229640888, 5622906.667175085 6959396.515283734)",AVENIDA,4023,10,0
25305,ARMANDO CARMELO ROMERO,AVENIDA,PAVIMENTO,SI,214.68,5850.0,5851.0,"LINESTRING (5622589.618331144 6959507.260162618, 5622790.888380028 6959432.577531375)",AVENIDA,4023,10,0
25306,ARMANDO CARMELO ROMERO,AVENIDA,PAVIMENTO,SI,135.33,5850.0,5851.0,"LINESTRING (5622462.911727802 6959554.80957075, 5622589.618331144 6959507.260162618)",AVENIDA,4023,10,0
25307,ARMANDO CARMELO ROMERO,AVENIDA,PAVIMENTO,SI,114.49,5850.0,5851.0,"LINESTRING (5622355.881146653 6959595.448317964, 5622462.911727802 6959554.80957075)",AVENIDA,4023,10,0
25308,ARMANDO CARMELO ROMERO,AVENIDA,PAVIMENTO,SI,85.26,5850.0,5851.0,"LINESTRING (5622275.53491192 6959623.9656107, 5622355.881146653 6959595.448317964)",AVENIDA,4023,10,0
