gid,nom_barrio,esquina,calle,calle2,suj-column,nro_artef,sem-artef,sem-arte_2,sem-arte_3,sem-arte_4,sem-arte_5,sem-arte_6,artef_camb,viscera,lampcambio,led,tipo led,suj-soport,de-cargado,de-bateria,de-cabl al,de_cam s_n,c-estado,lng,lat
1,NULL,1,AV. 3 DE ABRIL,AV. COSTANERA GRAL. SAN MARTIN,"con pescante 5,5m.",3,1*300+2*200,3*200,"3*200
","giro 200
",ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.85552953758024,-27.473426354255377
2,NULL,2,AV. 3 DE ABRIL,AV. COSTANERA GRAL. SAN MARTIN,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,simple,24V,no,bueno,no,bueno,-58.85571163324892,-27.473398499140977
3,NULL,3,AV. 3 DE ABRIL,AV. COSTANERA GRAL. SAN MARTIN,"con pescante 5,5m.",4,1*300+2*200,3*200,"3*200
","giro 200
",ninguno,ninguno,no,200,no,amarillo 200,12v,doble,Ninguno,no,bueno,no,bueno,-58.8554793043475,-27.473166372627034
4,NULL,4,AV. 3 DE ABRIL,CHACO,"con pescante 5,5m.",4,1*300+2*200,1*300+2*200,"3*200
","3*200
",ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.84738546549483,-27.47452569674081
5,NULL,5,AV. 3 DE ABRIL,CHACO,"con pescante 5,5m.",2,3*300,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.8472954642125,-27.474419848196984
6,NULL,6,AV. 3 DE ABRIL,CHACO,"con pescante 5,5m.",2,3*300,3*300,ninguno,ninguno,ninguno,ninguno,no,ningu,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.84742104748218,-27.474211864854663
7,NULL,7,AV. 3 DE ABRIL,CHACO,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,"peatonal
",ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.847412675299935,-27.474076304054847
8,NULL,8,AV. 3 DE ABRIL,ENTRE RIOS,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.84481292198117,-27.47487354321314
9,NULL,9,AV. 3 DE ABRIL,ENTRE RIOS,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.84469149176214,-27.474891570579675
10,NULL,10,AV. 3 DE ABRIL,ENTRE RIOS,"con pescante 5,5m.",2,3*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.84466449567867,-27.47473553598448
11,NULL,11,AV. 3 DE ABRIL,ENTRE RIOS,"con pescante 5,5m.",2,3*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.84492044629034,-27.474530179578334
12,NULL,12,AV. 3 DE ABRIL,ENTRE RIOS,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.84486222952627,-27.474410443392845
13,NULL,13,AV. 3 DE ABRIL,SAN LUIS,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.843454105496185,-27.47504599257042
14,NULL,14,AV. 3 DE ABRIL,SAN LUIS,"con pescante 5,5m.",2,1*300+2*200,"2*200
",ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.84341210202591,-27.474908169106065
