codca,id_traza,id_calles,nombre_calles
869,541,8549,44327
737,180,1376,44360
457,180,1368,151-CALLE 1
132,544,2581,44424
135,35,2582,44334
773,529,2583,44335
138,36,3261,44288
417,38,874556,44336
218,542,15003,44338
141,546,15002,22-CALLE 1
564,109,25404,22-CALLE 11
NULL,129,25405,22-CALLE 13
219,344,8513,22-CALLE 15
288,476,8507,22-CALLE 17
580,111,5603,22-CALLE 19
591,260,5604,22-CALLE 3
584,256,5598,22-CALLE 5
973,338,4585,22-CALLE 7
NULL,1005,4586,22-CALLE 9
610,112,4589,44432
NULL,1148,4594,44340
NULL,1149,4595,44341
NULL,NULL,7163,44437
826,159,7162,44289
279,634,8505,44230
6336,170,7165,44322
191,229,7215,81-PEATONAL 1
NULL,1140,25110,81-PEATONAL 4
933,585,25111,44386
239,663,25112,A. CAPDEVILLA
299,89,25116,A. LAMARQUE
940,290,25117,ÑAEMBE
17,5,25140,ÑANDU
455,444,25141,ÑANGAPIRÍ
NULL,450,25142,ABELARDO HECTOR DIMOTTA
902,341,25143,ABRAHAM BLUGERMAN
724,354,25144,ABREVADERO
253,61,25146,ACCESO A ERAGIA
338,482,25147,ACCESO A LASARETO
2683,715,25145,ACCESO A ROTONDA DE LA VIRGEN
7080,1026,25093,ACONCAGUA
641,116,25094,ACONQUIJA
851,171,25095,ACUÑA JUAN JOSE
583,255,25096,ADOLFO BIOY CASARES
529,105,25097,ADOLFO CIPRIANO (FITO) LEDESMA
115,30,25098,ADOLFO MORS
269,230,25099,ADOLFO PEREZ ESQUIVEL
850,296,25092,AGR. DOMINGO TASSANO
934,16,25118,AGUAÍ
118,538,25122,AGUAPEY
765,145,25123,AGUARA GUAZU
549,211,25124,AGUSTIN DONADO
1101,712,25125,AGUSTIN LARA
2652,465,25129,AGUSTIN MAZA
817,157,25130,AGUSTIN ONTIVEROS
705,226,25131,AGUTÍ
176,52,25132,ALBERDI
437,216,25133,ALBERTO CARLOS MEZA MARENGO
797,163,25134,ALBERTO DEVOTO
918,242,25135,ALCARAZ
985,424,25136,ALECRIN
669,119,25137,ALEJANDRIA
NULL,5,25138,ALEJANDRO BARRIOS
2178,1226,25139,ALEJANDRO DUMAS
577,110,7091,ALEJANDRO GALLARDO
92,660,8518,ALEJO CEBALLOS
NULL,401,8520,ALFONSINA STORNI
NULL,185,8524,ALFREDO BUFANO
720,189,8527,ALFREDO RUBEN VELASQUEZ
112,28,7213,ALGARROBO
768,181,7579,ALMIRANTE BROWN
1,1179,7648,ALTA GRACIA
46,11,7650,ALVEAR
719,62,7654,AMADO BOMPLAND
NULL,128,7663,AMADO PUYAU
563,36,7669,AMANDA ETCHEGUREN
496,531,7675,AMARILLA HIPOLITO JORGE DANIEL
NULL,246,7686,AMAZONAS
228,1179,7719,AMBAY
576,110,7720,AMBROSETTI
NULL,5,7867,AMERICO VESPUCIO
668,119,7950,ANDALUCIA
502,10,7955,ANGEL ACUÑA
NULL,10,7960,ANGEL HEREDIA
807,153,7964,ANGEL NAVEA
185,560,7967,ANGELA M. VILLAN
445,28,7980,ANIBAL MALDONADO
537,1179,8015,ANTEQUERAS
NULL,419,3785,ANTONIO NARIÑO
578,1195,3400,ANTONIO P. BALLERINI
73,615,3408,ANTONIO SAENZ
5006,51,3428,APEREA
783,182,3433,ARENALES
419,533,3501,ARGENTINA
670,119,3505,ARGENTINA ROJAS
1240,35,3506,ARGERICH
290,189,3521,ARISTOBULO DEL VALLE
297,189,3580,ARMANDO CARMELO ROMERO
103,628,3581,ARMANDO NELLI
93,660,3585,ARMENIA
59,16,3586,ARQ. MIGUEL ANGEL ROJAS
714,128,3600,ARQ. MIGUEL ROJAS
296,1179,3671,AV. ARTIGAS
959,127,3673,ARTURO DE CARRANZA
619,113,4657,AV.COSTANERA SUR JUAN PABLO II
663,292,5087,AVALOS OMAR ALBERTO
266,565,5088,AVE MARIA
906,239,7741,AVELINO FLORES
870,759,7743,AVIADOR J. CORREA FERNANDEZ
1142,69,7749,AYACUCHO
889,91,7750,AZCUENAGA
113,48,7755,BADAJOS
821,494,7760,BARAKALDO
642,116,7775,BARCELONA
NULL,448,7776,BARILOCHE
507,221,7819,BARTOLOME HIDALGO
197,566,7820,BASAVILBASO
161,552,7889,BELGICA
5010,131,7919,BELGRANO
805,379,7920,BELISARIO ROLDAN
240,737,7922,BELISARIO TISCORNIA
182,52,7998,BELLA VISTA
NULL,45,8033,BENAVIDEZ
1029,230,8034,BENITO LYNCH
656,147,8064,BENJAMIN FRANKLIN
31,8,8711,BERAZATEGUI
NULL,399,8801,BERNARDINO LOPEZ
632,115,9754,BERNARDO HOUSSAY
108,27,9755,BERNARDO MONTEAGUDO
796,374,9758,BICENTENARIO DE LA PATRIA
NULL,394,9768,BILBAO
75,20,9806,BLAS MARTINEZ RIERA
29,8,9816,BLAS PARERA
596,261,9817,BOLIVAR
508,222,9818,BOLIVIA
677,346,9834,BORDON HECTOR RAMON
162,519,9835,BOSTON
168,45,9837,BRASIL
NULL,1007,9838,BUENOS AIRES
754,140,9839,CAA CATI
171,376,9841,CABILDO
829,395,9843,CABO DE HORNOS
932,765,9844,CABO ROQUE E. SANCHEZ
639,524,9845,CABURE-Í
1106,719,9846,CACHO SAUCEDO
251,330,9847,CADIZ
2699,715,9848,CAFAYATE
323,622,9849,CALIFORNIA
1104,717,9850,CALINGASTA
1105,718,9851,CALLAO
1107,1166,9852,CALLE 1
362,777,9853,CALLE 106
7192,721,9854,CALLE 111
318,778,9855,CALLE 113
361,418,9856,CALLE 115
309,781,9857,CALLE 117
295,783,9858,CALLE 118
441,795,9859,CALLE 119
1122,658,9860,CALLE 122
1123,659,9861,CALLE 13
440,445,9862,CALLE 136
308,361,9863,CALLE 138
1134,620,9840,CALLE 146
454,358,2428,CALLE 147
1141,677,2431,CALLE 149
1254,79,8859,CALLE 154
NULL,80,8865,CALLE 156
1145,513,8869,CALLE 160
1146,514,8870,CALLE 171
390,515,8866,CALLE 172
1148,516,8867,CALLE 173
415,456,8868,CALLE 174
673,457,25442,CALLE 195
303,458,25443,CALLE 197
152,459,25444,CALLE 199
7191,460,25445,CALLE 2
444,461,25435,CALLE 201
676,462,7591,CALLE 204
371,463,7612,CALLE 206
491,464,7616,CALLE 21
2059,624,7617,CALLE 212
987,625,7639,CALLE 214
1177,651,7643,CALLE 220
1178,652,7680,CALLE 222
7020,526,7692,CALLE 224
2075,527,7693,CALLE 230
NULL,640,7695,CALLE 232
1195,97,7855,CALLE 240
NULL,231,7859,CALLE 246
NULL,232,7863,CALLE 259
2072,597,7871,CALLE 261
7019,598,7942,CALLE 273
357,587,7946,CALLE 3
6325,609,7984,CALLE 30
2057,779,7989,CALLE 302
2044,780,7993,CALLE 304
2042,782,8707,CALLE 32
2041,784,8708,CALLE 337
2043,785,8824,CALLE 341
1070,569,7029,CALLE 394
7023,454,7032,CALLE 396
1184,720,6987,CALLE 398
7036,775,6994,CALLE 4
6349,528,6980,CALLE 400
7070,676,4077,CALLE 402
NULL,172,4080,CALLE 414
NULL,794,4085,CALLE 415
NULL,173,4092,CALLE 416
2608,174,4098,CALLE 418
6288,173,8924,CALLE 42
2079,174,5014,CALLE 420
2070,402,24810,CALLE 421
2028,414,24815,CALLE 422
2029,415,24816,CALLE 424
2030,416,24817,CALLE 427
2031,417,24818,CALLE 444
391,768,24837,CALLE 445
NULL,174,24838,CALLE 446
2027,793,24839,CALLE 457
7015,98,24840,CALLE 46
1103,468,24841,CALLE 467
NULL,621,24811,CALLE 473
2063,469,24812,CALLE 477
7045,470,24813,CALLE 479
2065,471,24814,CALLE 480
7047,728,864,CALLE 481
2061,729,25090,CALLE 492
2671,472,25091,CALLE 494
2062,730,833,CALLE 5
2709,473,891,CALLE 502
398,1167,899,CALLE 506
2200,769,911,CALLE 507
7090,1159,916,CALLE 508
1958,75,838,CALLE 509
2342,76,5380,CALLE 510
6182,231,7078,CALLE 511
2656,1165,7310,CALLE 512
NULL,428,8200,CALLE 514
7193,429,8201,CALLE 515
7194,430,9109,CALLE 555
7196,432,8912,CALLE 570
1092,792,8907,CALLE 572
7197,99,9487,CALLE 577
7198,100,9730,CALLE 579
1001,703,9746,CALLE 580
NULL,704,9774,CALLE 581
345,705,3997,CALLE 582
NULL,1198,3998,CALLE 583
637,444,3999,CALLE 584
377,1037,4000,CALLE 585
8562,1193,4001,CALLE 587
359,588,5174,CALLE 591
NULL,1197,5179,CALLE 592
7037,1201,5260,CALLE 593
NULL,1002,2577,CALLE 595
2069,1047,2578,CALLE 596
2667,1048,713,CALLE 597
1017,996,724,CALLE 598
1045,997,714,CALLE 599
7103,998,723,CALLE 600
7109,1012,994,CALLE 601
7105,1021,2630,CALLE 602
7104,999,2637,CALLE 603
7181,1011,2639,CALLE 604
7140,1245,2658,CALLE 605
7106,1252,2740,CALLE 606
7141,1246,2752,CALLE 607
7107,1253,25188,CALLE 608
7142,1247,2656,CALLE 609
