,lat,lng
0,-27.473426354255377,-58.85552953758024
1,-27.473398499140977,-58.85571163324892
2,-27.473166372627038,-58.8554793043475
3,-27.47452569674081,-58.84738546549483
4,-27.474419848196984,-58.8472954642125
5,-27.474211864854663,-58.84742104748218
6,-27.474076304054847,-58.847412675299935
7,-27.47487354321314,-58.84481292198117
8,-27.474891570579675,-58.84469149176214
9,-27.47473553598448,-58.84466449567867
10,-27.47453017957833,-58.84492044629034
11,-27.474410443392845,-58.84486222952627
12,-27.47504599257042,-58.843454105496185
13,-27.474908169106065,-58.84341210202591
14,-27.474851822944952,-58.84375081792408
15,-27.47468982737149,-58.84367407764517
16,-27.474567743593468,-58.84361586088166
17,-27.475190514390075,-58.84227250318954
18,-27.474975079967745,-58.842130009461975
19,-27.4749469069124,-58.84232318337169
20,-27.47473091295683,-58.84226761284848
21,-27.475340809136245,-58.84114531948292
22,-27.475188725482614,-58.84108475336047
23,-27.475005600636777,-58.84122235673239
24,-27.474874126178,-58.84120118702101
25,-27.475505671390582,-58.8396822578247
26,-27.47552445333386,-58.839557885581286
27,-27.47539767499054,-58.83953406965094
28,-27.47517933421996,-58.83976429065598
29,-27.475057250985348,-58.83971136632817
30,-27.47561784289294,-58.83893043466716
31,-27.47548219377257,-58.83886722273278
32,-27.475266200921663,-58.83910273617295
33,-27.47516524754205,-58.83892808581903
34,-27.47577096597871,-58.83758909944269
35,-27.475578451056062,-58.837374755842895
36,-27.475547930421424,-58.83762879276369
37,-27.475324894393577,-58.83756792980644
38,-27.475911830080538,-58.83636390054491
39,-27.475801486360982,-58.83633214595708
40,-27.475709924471296,-58.83632685354324
41,-27.4755925373654,-58.836549135870605
42,-27.47547280233437,-58.83649091910652
43,-27.476038607633644,-58.83534246042492
44,-27.475930611776597,-58.83530276718296
45,-27.47572635849261,-58.8354350781242
46,-27.4756136668466,-58.83541920084401
47,-27.47639780993519,-58.83258774755838
48,-27.476273380333115,-58.8325983324595
49,-27.476069127683783,-58.83272667407393
50,-27.475947045443668,-58.83271873544953
51,-27.476552759604733,-58.83149750576764
52,-27.4765386732362,-58.83136519487856
53,-27.476430677861305,-58.83128316215102
54,-27.476232294848547,-58.83150809071554
55,-27.47611256051359,-58.83145384327821
56,-27.47672062145213,-58.83005994788115
57,-27.47660264844164,-58.83001496220588
58,-27.47641306967448,-58.83003083955822
59,-27.47638724471687,-58.83023856766552
60,-27.47627572759886,-58.8301552118299
61,-27.47690080857088,-58.82870442274506
62,-27.476764640934757,-58.82868060681691
63,-27.47657095395385,-58.8288195333002
64,-27.476446524541775,-58.82880100980495
65,-27.47646530632117,-58.82865811403663
66,-27.477053409779813,-58.82740248352703
67,-27.476842115392937,-58.82736675963648
68,-27.47681394281749,-58.82757316463541
69,-27.476599126383967,-58.8275202403297
70,-27.46861283191026,-58.835568936397344
71,-27.477358611590063,-58.82493753152805
72,-27.477243573895542,-58.82487402232713
73,-27.477121493009555,-58.82514393657683
74,-27.477025236787536,-58.825128059292695
75,-27.47691724189616,-58.82508042739719
76,-27.47752529837504,-58.82358796038546
77,-27.47740791316061,-58.8235853141956
78,-27.47721070574577,-58.82372291757078
79,-27.47707923391688,-58.82369380920581
80,-27.477107406438066,-58.8235588520888
81,-27.477983098821387,-58.81993617964514
82,-27.477851627916728,-58.8199203023694
83,-27.477567556312053,-58.81984885455521
84,-27.47759103328316,-58.819597463854
85,-27.477921728385912,-58.81961740690712
86,-27.478018314161123,-58.81965303432693
87,-27.478319991767304,-58.81717617434881
88,-27.47820025971126,-58.817174851268426
89,-27.478106352147087,-58.8172886386583
90,-27.47800305370705,-58.8172714382669
91,-27.477915015162765,-58.81712721941515
92,-27.478618147059237,-58.814871318530734
93,-27.47840216030905,-58.81485808749298
94,-27.478200259249604,-58.814746946391416
95,-27.47864162379843,-58.81457758834392
