,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_unico,cantidad_de_involucrados,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,luminosidad,luz_artificial,estado_ambiental,visibilidad,semaforo
0,49056,2018-10-29,20:10:00,Urbana,Avenida,AV INDEPENDENCIA,LAS PIEDRAS,-2.748.105,-5.880.054,1,2,0,3,0,Colisión entre vehículos,3,Hormigón,Apto,Seca,Atardecer,,Despejado,Buena,Funciona
1,49059,2018-10-31,19:30:00,Urbana,Calle,BELASCOAIN,VIUDES,-2.748.406,-5.877.596,1,1,0,2,0,Colisión entre vehículos,2,Tierra,,"Despejada, Seca",Noche,NO,Nublado,Buena,Sin Semáforo
2,48998,2018-10-08,13:10:00,Urbana,Calle,BELGRANO,SAN JUAN,-2.747.203,-5.883.722,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
3,49069,2018-11-05,07:15:00,Urbana,Avenida,AVENIDA FERRE,ESPAÑA,-2.747.631,-5.883.009,2,1,0,3,0,Colisión entre vehículos,3,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Funciona
4,48869,2018-08-25,10:30:00,Urbana,Calle,MENDOZA,25 DE mayo,-2.746.437,-5.883.526,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
5,49074,2018-11-07,09:15:00,Urbana,Avenida,AVENIDA MAIPU,,-2.751.429,-5.880.672,3,1,0,3,0,Colisión entre vehículos,3,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
6,48891,2018-09-02,02:00:00,Urbana,Calle,AV LIBERTAD,UNNE,-2.746.523,-5.878.393,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Mojada,Noche,SI,Lluvia,Lluvia,Intermitente
7,48930,2018-09-17,08:40:00,Urbana,Avenida,AV. ARMENIA,AMEGHINO,-2.746.740,-5.880.662,1,0,0,1,0,Despiste,1,Asfalto,Apto,Seca,,NO,Nublado,Lluvia,Sin Semáforo
8,49110,2018-11-24,11:30:00,Urbana,Avenida,A. RAUL ALFONSIN,LOS TILOS,-2.747.411,-5.880.133,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,,Sin Semáforo
9,49190,2018-12-25,08:32:00,Urbana,Avenida,AV PAYSANDU,COSQUIN,-2.749.474,-5.882.483,0,2,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
