,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_unico,cantidad_de_involucrados,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,luminosidad,luz_artificial,estado_ambiental,visibilidad,semaforo,tipo_involucrado
0,55290,2019-12-31,12:05:00,Urbana,Ruta Nacional,12,5900,AVENIDA RAUL ALFONSIN,-2.747.829,-5.878.329,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
1,55290,2019-12-31,12:05:00,Urbana,Ruta Nacional,12,5900,AVENIDA RAUL ALFONSIN,-2.747.829,-5.878.329,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
2,49529,2019-12-30,19:00:00,Urbana,Avenida,AV FRRE,1650,AV MAIPU,-2.747.665,-5.883.088,1,2,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Noche,NO,Despejado,Buena,Sin Semáforo,Automóvil
3,49529,2019-12-30,19:00:00,Urbana,Avenida,AV FRRE,1650,AV MAIPU,-2.747.665,-5.883.088,1,2,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Noche,NO,Despejado,Buena,Sin Semáforo,Motocicleta
4,58985,2019-12-30,07:00:00,Urbana,Calle,ESPAÑA,1700,BELGRANO,-2.747.278,-5.882.972,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
5,58985,2019-12-30,07:00:00,Urbana,Calle,ESPAÑA,1700,BELGRANO,-2.747.278,-5.882.972,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Camioneta/Utilitario
6,49556,2019-12-30,15:00:00,Urbana,Avenida,AVENIDA 3 DE ABRIL,1400,CATAMARCA,-2.747.610,-5.883.394,2,1,0,1,1,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Nublado,Buena,Funciona,Automóvil
7,49556,2019-12-30,15:00:00,Urbana,Avenida,AVENIDA 3 DE ABRIL,1400,CATAMARCA,-2.747.610,-5.883.394,2,1,0,1,1,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Nublado,Buena,Funciona,Peatón
8,49594,2019-12-30,19:50:00,Urbana,Avenida,AVENIDA ARMENIA,4700,,-2.746.772,-5.879.368,2,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Noche,SI,Despejado,Buena,Sin Semáforo,Motocicleta
9,49594,2019-12-30,19:50:00,Urbana,Avenida,AVENIDA ARMENIA,4700,,-2.746.772,-5.879.368,2,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Noche,SI,Despejado,Buena,Sin Semáforo,Motocicleta
10,68871,2019-12-27,22:30:00,Urbana,Ruta Nacional,12,6.500,AV. LIBERTAD,-2.746.144,-5.876.849,0,1,0,1,0,Despiste,1,Hormigón,Apto,Despejada,Noche,NO,Nublado,Buena,Sin Semáforo,Motocicleta
11,49349,2019-12-26,09:30:00,Urbana,Calle,RIVADAVIA,1500,SAN LORENZO,-2.747.484,-5.883.262,3,0,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
12,49349,2019-12-26,09:30:00,Urbana,Calle,RIVADAVIA,1500,SAN LORENZO,-2.747.484,-5.883.262,3,0,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
13,49533,2019-12-24,07:20:00,Urbana,Avenida,AVENIDA TTE IBAÑEZ,2400,REVIDATTI,-2.748.488,-5.884.241,2,0,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Mojada,Día,NO,Lluvia,Lluvia,Sin Semáforo,Motocicleta
