,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_colision,cantidad_de_involucrados,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,luminosidad,luz_artificial,estado_ambiental,visibilidad,semaforo,tipo_involucrado
0,71290,2020-12-28,17:34:00,Urbana,Calle,HIPOLITO IRIGOYEN,2500,ITUZAINGO,-2.751.527,-5.875.677,1,1,0,2,0,Angulo,2,Asfalto,Apto,Seca,Día,,Despejado,,,Automóvil
1,71290,2020-12-28,17:34:00,Urbana,Calle,HIPOLITO IRIGOYEN,2500,ITUZAINGO,-2.751.527,-5.875.677,1,1,0,2,0,Angulo,2,Asfalto,Apto,Seca,Día,,Despejado,,,Motocicleta
2,75820,2020-12-27,12:15:00,Urbana,Avenida,AV CUBA,6200,TURIN,-2.750.558,-5.878.565,1,1,0,2,0,Angulo,2,Hormigón,Apto,Seca,Día,NO,Despejado,,Sin Semáforo,Motocicleta
3,75820,2020-12-27,12:15:00,Urbana,Avenida,AV CUBA,6200,TURIN,-2.750.558,-5.878.565,1,1,0,2,0,Angulo,2,Hormigón,Apto,Seca,Día,NO,Despejado,,Sin Semáforo,Automóvil
4,72215,2020-12-27,19:22:00,Rural,Ruta Provincial,RUTA 5KM,9.300,,-2.747.903,-5.881.874,2,1,0,2,0,Angulo,2,,Apto,Seca,Día,SI,Despejado,Buena,,Automóvil
5,72215,2020-12-27,19:22:00,Rural,Ruta Provincial,RUTA 5KM,9.300,,-2.747.903,-5.881.874,2,1,0,2,0,Angulo,2,,Apto,Seca,Día,SI,Despejado,Buena,,Motocicleta
6,79464,2020-12-26,07:14:00,Urbana,Avenida,AV COLON,3000,IV CENTENARIO,-2.748.913,-5.883.815,1,1,0,2,0,Angulo,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Funciona,Motocicleta
7,79464,2020-12-26,07:14:00,Urbana,Avenida,AV COLON,3000,IV CENTENARIO,-2.748.913,-5.883.815,1,1,0,2,0,Angulo,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Funciona,Transporte de pasajeros
8,84248,2020-12-25,19:25:00,Urbana,Avenida,AV GOBERNADOR RUIZ,2400,VELEZSARSFIELD,-2.746.673,-5.881.942,1,1,0,2,0,Lateral,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
9,84248,2020-12-25,19:25:00,Urbana,Avenida,AV GOBERNADOR RUIZ,2400,VELEZSARSFIELD,-2.746.673,-5.881.942,1,1,0,2,0,Lateral,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
