,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_colision,cantidad_de_involucrados,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,luminosidad,luz_artificial,estado_ambiental,visibilidad,semaforo
0,128325,2021-12-31,16:30:00,Urbana,Ruta Provincial,43,,,,2.0,0,0.0,2,0.0,Frontal,2,Asfalto,Apto,Seca,,NO,Despejado,Buena,Sin Semáforo
1,93014,2021-12-29,15:15:00,Urbana,Avenida,AV 3 DE ABRIL,CATAMARCA,-2.747.594,-5.883.391,1.0,2,0.0,2,0.0,,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Funciona
2,115166,2021-12-29,08:00:00,Urbana,Avenida,CHACABUCO,AYACUCHO,,,2.0,0,0.0,2,0.0,Lateral,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Funciona
3,134808,2021-12-29,16:30:00,Urbana,Calle,MORELO,MISTRAL,-2.751.558,-5.875.626,1.0,1,0.0,2,0.0,Lateral,2,Tierra,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
4,95909,2021-12-28,09:30:00,Urbana,Avenida,AV C.CORRENTINO,MONTE CARLPS,-2.748.134,-5.879.838,2.0,0,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Funciona
5,115933,2021-12-28,20:00:00,Urbana,Avenida,AV MAIPU,,-2.748.086,-5.882.765,0.0,2,0.0,2,0.0,,2,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,Sin Semáforo
6,118299,2021-12-28,09:50:00,Urbana,Calle,ESPAÑA,,,,1.0,1,0.0,2,0.0,,2,Asfalto,Apto,,Día,NO,Nublado,Buena,
7,123413,2021-12-28,09:10:00,Urbana,Calle,SAN MARTIN,COLOMBIA,,,1.0,1,0.0,2,0.0,,2,Asfalto,Apto,,Día,NO,Despejado,Buena,Sin Semáforo
8,110440,2021-12-27,20:00:00,Urbana,Avenida,AV R. R. ALFONSIN,,-2.747.475,-5.879.864,0.0,1,0.0,1,0.0,,1,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
9,107685,2021-12-26,13:00:00,Urbana,Avenida,AV R.R.ALFONSIN,QUINQUELA MARTIN,-2.747.588,-5.879.308,2.0,1,0.0,2,0.0,,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
10,119143,2021-12-25,16:00:00,Urbana,Calle,SAN MARTIN,ESPAÑA,,,0.0,2,0.0,1,1.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,
11,130982,2021-12-25,11:50:00,Urbana,Calle,NECOCHEA,PIRAGINI NYVEIRO,,,1.0,1,0.0,2,0.0,,2,Hormigón,,Seca,Día,NO,Despejado,Buena,
12,107986,2021-12-24,07:20:00,Urbana,Calle,9 DE julio,ROCA,-2.746.743,-5.882.238,1.0,0,0.0,1,0.0,Columna,1,Asfalto,Apto,Seca,Día,NO,Despejado,,Sin Semáforo
13,107680,2021-12-24,20:05:00,Urbana,Avenida,AV MAIPU,,-2.750.778,-5.881.035,0.0,1,0.0,1,0.0,,1,Hormigón,Apto,Seca,Atardecer,NO,Despejado,,Sin Semáforo
14,120747,2021-12-23,21:30:00,Urbana,Avenida,AV. C. CORRENTINOS,PAIUBRE,,,1.0,0,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
15,122549,2021-12-22,12:54:00,Urbana,Avenida,AV. ARMENIA,CHACABUCO,,,1.0,1,0.0,2,0.0,Angulo,2,Hormigón,Apto,Seca,Día,NO,,Buena,Sin Semáforo
16,131001,2021-12-21,16:43:00,Urbana,Calle,ESPAÑA,BELGRANO,,,2.0,0,0.0,2,0.0,Angulo,2,Asfalto,Apto,Mojada,Día,NO,Lluvia,Lluvia,
17,98245,2021-12-21,16:30:00,Urbana,Calle,SUIZA,REPUBLICA DOMINICANA,-2.747.614,-5.881.073,1.0,1,0.0,2,0.0,,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
18,98278,2021-12-19,13:45:00,Urbana,Calle,MORENO,VELEZ SARDFIELD,-2.747.477,-5.882.092,2.0,0,0.0,2,0.0,,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
19,120709,2021-12-19,16:00:00,Urbana,Avenida,AV. 3 DE ABRIL,ENTRE RIOS,,,2.0,1,0.0,3,0.0,Angulo,3,Asfalto,Apto,Seca,Día,,Despejado,Buena,Funciona
20,95211,2021-12-19,11:00:00,Urbana,Avenida,AV VERA,CAA GUAZU,-2.746.122,-5.883.010,2.0,0,0.0,2,0.0,Alcance,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
21,119121,2021-12-18,11:45:00,Urbana,Calle,AV. INDEPENDENCIA,PAIUBRE,,,1.0,1,0.0,2,0.0,Angulo,2,Asfalto,Apto,Mojada,Día,NO,Lluvia,Buena,Funciona
22,121659,2021-12-18,02:00:00,Urbana,Ruta Nacional,12,RUTA PROV. 43,,,2.0,0,0.0,2,0.0,Frontal,2,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,
23,95919,2021-12-18,12:20:00,Urbana,Avenida,AV LIBERTAD,MADERO,-2.746.544,-5.878.520,2.0,1,0.0,3,0.0,,3,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
24,129554,2021-12-18,12:09:00,Urbana,Avenida,AV. INDEPENDENCIA,,-2.748.223,-5.879.346,1.0,1,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,
25,98265,2021-12-18,10:35:00,Urbana,Avenida,AV 3 DE ABRIL,TUCUMAN,-2.747.483,-5.884.222,2.0,0,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Funciona
26,126366,2021-12-16,18:25:00,Urbana,Avenida,3 DE abril,ROCA,,,2.0,0,0.0,2,0.0,Alcance,2,Asfalto,Apto,,Atardecer,SI,Despejado,Buena,
27,91688,2021-12-16,12:30:00,Urbana,Avenida,AV TENIENTE IBAÑEZ,BENJAMIN DE LA VEGA,-2.748.374,-5.884.820,1.0,2,0.0,2,0.0,Angulo,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
28,119963,2021-12-15,17:50:00,Urbana,Calle,LORETO,,,,2.0,0,0.0,2,0.0,Frontal,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
29,124112,2021-12-15,00:50:00,Urbana,Calle,San Martin,Mendoza,-2.746.986,-5.883.586,1.0,1,0.0,2,0.0,,2,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,Sin Semáforo
30,131730,2021-12-15,06:50:00,Urbana,Calle,NAPOLES,LAS HERAS,,,1.0,2,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
31,100023,2021-12-15,15:49:00,Urbana,Avenida,AV. 3 DE ABRIL,,-2.747.477,-5.884.355,,1,0.0,1,1.0,,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Funciona
32,124200,2021-12-14,16:35:00,Urbana,Avenida,AV. MAIPU,TILCARA,,,2.0,0,0.0,2,0.0,,2,Asfalto,Apto,,Día,NO,Despejado,Buena,
33,96783,2021-12-14,14:05:00,Urbana,Calle,25 DE mayo,VELEZSARSFIELD,-2.746.557,-5.881.937,3.0,1,0.0,2,0.0,Angulo,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
