,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_unico,tipo_colision,cantidad_de_involucrados,cono_de_vision,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,barreras_de_seguridad,luminosidad,luz_artificial,estado_ambiental,semaforo,tipo_involucrado
0,182665,2023-12-30,12:30:00,Urbana,Avenida,AV INDEPENDENCIA,4200,LAS PIEDRAS,,,3.0,0.0,0.0,3.0,0.0,Colisión entre vehículos,Multiple,3,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Funciona,Automóvil
1,182665,2023-12-30,12:30:00,Urbana,Avenida,AV INDEPENDENCIA,4200,LAS PIEDRAS,,,3.0,0.0,0.0,3.0,0.0,Colisión entre vehículos,Multiple,3,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Funciona,Camioneta/Utilitario
2,182665,2023-12-30,12:30:00,Urbana,Avenida,AV INDEPENDENCIA,4200,LAS PIEDRAS,,,3.0,0.0,0.0,3.0,0.0,Colisión entre vehículos,Multiple,3,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Funciona,Camioneta/Utilitario
3,197455,2023-12-27,00:15:00,Urbana,Avenida,CHACABUCO,1900,LAS HERAS,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,Alcance,2,S/D,Asfalto,Apto,Seca,S/D,Noche,SI,Despejado,Funciona,Automóvil
4,197455,2023-12-27,00:15:00,Urbana,Avenida,CHACABUCO,1900,LAS HERAS,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,Alcance,2,S/D,Asfalto,Apto,Seca,S/D,Noche,SI,Despejado,Funciona,Motocicleta
5,207065,2023-12-27,10:10:00,Urbana,Calle,AV VERA,1300,CORDOBA,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,Lateral,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Automóvil
6,207065,2023-12-27,10:10:00,Urbana,Calle,AV VERA,1300,CORDOBA,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,Lateral,2,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Motocicleta
7,202001,2023-12-24,13:50:00,Urbana,Calle,RIVADAVIA,1499,SAN LORENZO,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,,2,,Asfalto,Apto,Seca,Asfalto,Día,,Despejado,Sin Semáforo,Automóvil
8,202001,2023-12-24,13:50:00,Urbana,Calle,RIVADAVIA,1499,SAN LORENZO,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,,2,,Asfalto,Apto,Seca,Asfalto,Día,,Despejado,Sin Semáforo,Motocicleta
9,207724,2023-12-24,23:45:00,Urbana,Calle,LAVALLE,90,,,,1.0,0.0,0.0,1.0,0.0,Despeñamiento,Lateral,1,,Asfalto,Apto,Seca,Ninguna,Noche,NO,Despejado,Sin Semáforo,Camioneta/Utilitario
10,181822,2023-12-23,09:00:00,Urbana,Calle,SAN MARTIN,2100,ROCA,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,,2,S/D,Asfalto,Apto,Seca,S/D,Día,,Despejado,S/D,Automóvil
11,181822,2023-12-23,09:00:00,Urbana,Calle,SAN MARTIN,2100,ROCA,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,,2,S/D,Asfalto,Apto,Seca,S/D,Día,,Despejado,S/D,Motocicleta
12,177774,2023-12-23,09:21:00,Urbana,Calle,SAN LORENZO,1200,SIMÓN BOLIVAR,-2.747.131,-5.883.213,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,,2,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Automóvil
13,177774,2023-12-23,09:21:00,Urbana,Calle,SAN LORENZO,1200,SIMÓN BOLIVAR,-2.747.131,-5.883.213,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,,2,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Motocicleta
14,189213,2023-12-21,14:00:00,Urbana,Avenida,AV MAIPU,3500,PUNTA MOGOTES,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,Angulo,2,S/D,Asfalto,Apto,Seca,S/D,Día,,Despejado,Sin Semáforo,Motocicleta
15,189213,2023-12-21,14:00:00,Urbana,Avenida,AV MAIPU,3500,PUNTA MOGOTES,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,Angulo,2,S/D,Asfalto,Apto,Seca,S/D,Día,,Despejado,Sin Semáforo,Automóvil
16,190637,2023-12-21,10:05:00,Urbana,Avenida,AVENIDA MAIPU,1700,FRAGATA SARMIENTO,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,Angulo,2,,Asfalto,Apto,Seca,S/D,Día,,Despejado,Funciona,Automóvil
17,190637,2023-12-21,10:05:00,Urbana,Avenida,AVENIDA MAIPU,1700,FRAGATA SARMIENTO,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,Angulo,2,,Asfalto,Apto,Seca,S/D,Día,,Despejado,Funciona,Motocicleta
