id_feu,hora,zona,tipo_via,latitud,longitud,ilesos,heridos,fallecidos,peatones,tipo_siniestro,vehiculos_involucrados,material_de_la_calzada,estado_de_la_calzada,luz_artificial,condiciones_climaticas,semaforo,anio,mes,dia,cruce,lugar_del_hecho,es_colision,tipo_siniestro_para_grafico,vehiculo
49056,20:10:00,Urbana,Avenida,-27.48105,-58.80054,1.0,2.0,0.0,0.0,Colisión entre vehículos,3,Hormigón,Apto,NO,Despejado,Funciona,2018,10,29,SI,AV INDEPENDENCIA y LAS PIEDRAS,Real,Colisión entre vehículos,"Motocicleta, Motocicleta, Automóvil"
49059,19:30:00,Urbana,Calle,-27.48406,-58.77596,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Tierra,Apto,NO,Nublado,Sin Semáforo,2018,10,31,SI,BELASCOAIN y VIUDES,Real,Colisión entre vehículos,"Motocicleta, Automóvil"
48998,13:10:00,Urbana,Calle,-27.47203,-58.83722,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,10,8,SI,BELGRANO y SAN JUAN,Real,Colisión entre vehículos,"Automóvil, Motocicleta"
49069,07:15:00,Urbana,Avenida,-27.47631,-58.83009,2.0,1.0,0.0,0.0,Colisión entre vehículos,3,Asfalto,Apto,NO,Despejado,Funciona,2018,11,5,SI,AVENIDA FERRE y ESPAÑA,Real,Colisión entre vehículos,"Automóvil, Motocicleta, Motocicleta"
48869,10:30:00,Urbana,Calle,-27.46437,-58.83526,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,8,25,SI,MENDOZA y 25 DE mayo,Real,Colisión entre vehículos,"Automóvil, Automóvil"
49074,09:15:00,Urbana,Avenida,-27.51429,-58.80672,3.0,1.0,0.0,0.0,Colisión entre vehículos,3,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,11,7,NO,AVENIDA MAIPU 5300,Real,Colisión entre vehículos,"Camioneta/Utilitario, Motocicleta, Transporte de pasajeros"
48891,02:00:00,Urbana,Calle,-27.46523,-58.78393,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,SI,Lluvia,Intermitente,2018,9,2,SI,AV LIBERTAD y UNNE,Real,Colisión entre vehículos,"Automóvil, Motocicleta"
48930,08:40:00,Urbana,Avenida,-27.4674,-58.80662,1.0,0.0,0.0,0.0,Despiste,1,Asfalto,Apto,NO,Nublado,Sin Semáforo,2018,9,17,SI,AV. ARMENIA y AMEGHINO,Real,Despiste,Motocicleta
49110,11:30:00,Urbana,Avenida,-27.47411,-58.80133,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,11,24,SI,A. RAUL ALFONSIN y LOS TILOS,Real,Colisión entre vehículos,"Automóvil, Motocicleta"
49190,08:32:00,Urbana,Avenida,-27.49474,-58.82483,0.0,2.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Despejado,Sin Semáforo,2018,12,25,SI,AV PAYSANDU y COSQUIN,Real,Colisión entre vehículos,"Automóvil, Bicicleta"
49127,00:30:00,Urbana,Avenida,-27.51558,-58.75626,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,SI,Despejado,Sin Semáforo,2018,12,2,NO,AV CAZADORES CORRENTINOS 3200,Real,Colisión entre vehículos,"Automóvil, Automóvil"
49180,00:35:00,Urbana,Avenida,-27.47853,-58.81608,0.0,1.0,0.0,0.0,Caída desde vehículo,1,Hormigón,Baches,SI,Nublado,Funciona,2018,12,21,SI,AV FERRE y BOLIVIA BANDA CENTRAL SUR,Real,Caída desde vehículo,Motocicleta
49155,16:54:00,Urbana,Avenida,-27.47577,-58.83774,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Despejado,No Funciona,2018,12,9,SI,AV 3 DE ABRIL y SAN JUAN,Real,Colisión entre vehículos,"Automóvil, Motocicleta"
49137,15:20:00,Urbana,Avenida,-27.4773,-58.82368,3.0,0.0,0.0,0.0,Colisión entre vehículos,3,Hormigón,Apto,NO,Despejado,Funciona,2018,12,4,SI,AV FERRE y ROCA,Real,Colisión entre vehículos,"Automóvil, Automóvil, Transporte de carga"
49022,13:45:00,Urbana,Avenida,-27.49891,-58.81492,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,Nublado,Sin Semáforo,2018,10,18,NO,AVENIDA MAIPU 2700,Real,Colisión entre vehículos,"Motocicleta, Camioneta/Utilitario"
48955,13:00:00,Urbana,Avenida,-27.47597,-58.81963,0.0,1.0,0.0,0.0,Atropello a animal/es,1,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,9,21,NO,AV ARTIGAS 1496,Real,Otros,Motocicleta
48843,10:10:00,Urbana,Avenida,-27.50765,-58.79788,0.0,1.0,0.0,0.0,Colisión entre vehículos,1,Asfalto,Apto,SI,Despejado,Sin Semáforo,2018,8,12,SI,AV FRONDIZI y JULIO VERNE,Real,Colisión entre vehículos,Automóvil
48833,05:06:00,Urbana,Avenida,-27.47656,-58.83149,1.0,0.0,0.0,0.0,Colisión entre vehículos,1,Asfalto,Apto,SI,Despejado,Funciona,2018,8,11,SI,AV 3 DE ABRIL y GUTEMBERG,Real,Colisión entre vehículos,Automóvil
49126,11:20:00,Urbana,Avenida,-27.48787,-58.82301,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Despejado,Funciona,2018,12,1,SI,AV MAIPU y GENERAL PAZ,Real,Colisión entre vehículos,"Automóvil, Motocicleta"
49092,07:00:00,Urbana,Calle,-27.47673,-58.79658,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Tierra,Apto,NO,Despejado,Sin Semáforo,2018,11,16,NO,LOS ANGELES 4500,Real,Colisión entre vehículos,"Automóvil, Motocicleta"
48927,17:00:00,Urbana,Ruta Provincial,-27.49175,-58.74707,1.0,0.0,1.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,9,12,NO,RUTA 5 6,Real,Colisión entre vehículos,"Transporte de carga, Motocicleta"
49081,16:15:00,Urbana,Avenida,-27.48377,-58.78971,2.0,1.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Despejado,Funciona,2018,11,9,SI,AVENIDA INDEPENDENCIA y GODOY CHUZ,Real,Colisión entre vehículos,"Motocicleta, Motocicleta"
49167,08:00:00,Urbana,Calle,-27.49634,-58.80029,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Despejado,Sin Semáforo,2018,12,14,SI,CARTAGENA y MEDRANO,Real,Colisión entre vehículos,"Motocicleta, Automóvil"
49030,21:30:00,Urbana,Avenida,-27.47467,-58.79949,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,SI,Despejado,Sin Semáforo,2018,10,20,NO,AVENIDA CENTENARIO 4200,Real,Colisión entre vehículos,"Automóvil, Motocicleta"
49194,10:45:00,Urbana,Calle,-27.47423,-58.8411,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,12,27,NO,BUENOS AIRES 1500,Real,Colisión entre vehículos,"Automóvil, Motocicleta"
48808,01:10:00,Urbana,Avenida,-27.4742,-58.8272,0.0,1.0,0.0,0.0,Vuelco (solo 1 participante),1,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,8,4,NO,FERRE 1700,Real,Vuelco (solo 1 participante),Camioneta/Utilitario
49136,07:00:00,Urbana,Calle,-27.46965,-58.8383,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Despejado,Funciona,2018,12,4,SI,SAN MARTIN y RIOJA,Real,Colisión entre vehículos,"Automóvil, Automóvil"
49044,16:30:00,Urbana,Avenida,-27.4757,-58.83543,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,Despejado,Funciona,2018,10,27,SI,AV 3 DE ABRIL y CORDOBA,Real,Colisión entre vehículos,"Automóvil, Automóvil"
49196,11:45:00,Urbana,Calle,-27.47052,-58.82952,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,12,29,SI,SAN MARTIN y ESPAÑA,Real,Colisión entre vehículos,"Automóvil, Automóvil"
49078,07:45:00,Urbana,Ruta Provincial,-27.49198,-58.74681,0.0,4.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,11,8,SI,RUTA PROVINCIAL 5 y PEREZ RUEDA,Real,Colisión entre vehículos,"Motocicleta, Motocicleta"
48853,12:30:00,Urbana,Calle,-27.46696,-58.82914,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Nublado,Sin Semáforo,2018,8,20,SI,ESPAÑA y 9 DE julio,Real,Colisión entre vehículos,"Automóvil, Automóvil"
48991,10:00:00,Urbana,Calle,-27.48265,-58.83994,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Despejado,Sin Semáforo,2018,10,3,SI,MADARIAGA y HEROES CIVILES,Real,Colisión entre vehículos,"Automóvil, Motocicleta"
49130,15:05:00,Urbana,Avenida,-27.47933,-58.81483,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Despejado,Funciona,2018,12,3,SI,AV CHACABUCO y LA VALLE,Real,Colisión entre vehículos,"Automóvil, Transporte de pasajeros"
48965,10:10:00,Urbana,Avenida,-27.47077,-58.78767,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Despejado,Sin Semáforo,2018,9,26,SI,AVENIDA FEDERICO LAPRIDA y LAFERRERE,Real,Colisión entre vehículos,"Automóvil, Transporte de pasajeros"
49065,07:15:00,Urbana,Avenida,-27.47827,-58.78312,0.0,2.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,SI,Despejado,Sin Semáforo,2018,11,3,SI,RUTA 12 y CENTENARIO,Real,Colisión entre vehículos,"Motocicleta, Motocicleta"
48881,09:00:00,Urbana,Avenida,-27.46885,-58.8017,1.0,1.0,0.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,NO,Despejado,Sin Semáforo,2018,8,30,NO,AV.ARMENIA 4101,Real,Colisión entre vehículos,"Motocicleta, Transporte de carga"
48951,13:30:00,Urbana,Avenida,-27.47667,-58.82878,2.0,0.0,0.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,NO,Despejado,Sin Semáforo,2018,9,20,SI,AV FERRE y JUJUY,Real,Colisión entre vehículos,"Automóvil, Transporte de carga"
