id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_unico,cantidad_de_involucrados,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,luminosidad,luz_artificial,estado_ambiental,visibilidad,semaforo,anio,mes,dia
49056,2018-10-29,20:10:00,Urbana,Avenida,AV INDEPENDENCIA,LAS PIEDRAS,-27.48105,-58.80054,1.0,2.0,0.0,3.0,0.0,Colisión entre vehículos,3,Hormigón,Apto,Seca,Atardecer,,Despejado,Buena,Funciona,2018,October,29
49059,2018-10-31,19:30:00,Urbana,Calle,BELASCOAIN,VIUDES,-27.48406,-58.77596,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Tierra,,"Despejada, Seca",Noche,NO,Nublado,Buena,Sin Semáforo,2018,October,31
48998,2018-10-08,13:10:00,Urbana,Calle,BELGRANO,SAN JUAN,-27.47203,-58.83722,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,2018,October,8
49069,2018-11-05,07:15:00,Urbana,Avenida,AVENIDA FERRE,ESPAÑA,-27.47631,-58.83009,2.0,1.0,0.0,3.0,0.0,Colisión entre vehículos,3,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Funciona,2018,November,5
48869,2018-08-25,10:30:00,Urbana,Calle,MENDOZA,25 DE mayo,-27.46437,-58.83526,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,2018,August,25
49074,2018-11-07,09:15:00,Urbana,Avenida,AVENIDA MAIPU,,-27.51429,-58.80672,3.0,1.0,0.0,3.0,0.0,Colisión entre vehículos,3,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,2018,November,7
48891,2018-09-02,02:00:00,Urbana,Calle,AV LIBERTAD,UNNE,-27.46523,-58.78393,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,Mojada,Noche,SI,Lluvia,Lluvia,Intermitente,2018,September,2
48930,2018-09-17,08:40:00,Urbana,Avenida,AV. ARMENIA,AMEGHINO,-27.4674,-58.80662,1.0,0.0,0.0,1.0,0.0,Despiste,1,Asfalto,Apto,Seca,,NO,Nublado,Lluvia,Sin Semáforo,2018,September,17
49110,2018-11-24,11:30:00,Urbana,Avenida,A. RAUL ALFONSIN,LOS TILOS,-27.47411,-58.80133,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,,Sin Semáforo,2018,November,24
49190,2018-12-25,08:32:00,Urbana,Avenida,AV PAYSANDU,COSQUIN,-27.49474,-58.82483,0.0,2.0,0.0,2.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,2018,December,25
49127,2018-12-02,00:30:00,Urbana,Avenida,AV CAZADORES CORRENTINOS,,-27.51558,-58.75626,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,Sin Semáforo,2018,December,2
49180,2018-12-21,00:35:00,Urbana,Avenida,AV FERRE,BOLIVIA BANDA CENTRAL SUR,-27.47853,-58.81608,0.0,1.0,0.0,1.0,0.0,Caída desde vehículo,1,Hormigón,Baches,Seca,Noche,SI,Nublado,Buena,Funciona,2018,December,21
49155,2018-12-09,16:54:00,Urbana,Avenida,AV 3 DE ABRIL,SAN JUAN,-27.47577,-58.83774,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,"Despejada, Seca",Día,NO,Despejado,Buena,No Funciona,2018,December,9
49137,2018-12-04,15:20:00,Urbana,Avenida,AV FERRE,ROCA,-27.4773,-58.82368,3.0,0.0,0.0,3.0,0.0,Colisión entre vehículos,3,Hormigón,Apto,"Despejada, Seca",Día,,,,Funciona,2018,December,4
49022,2018-10-18,13:45:00,Urbana,Avenida,AVENIDA MAIPU,,-27.49891,-58.81492,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Nublado,Buena,Sin Semáforo,2018,October,18
48955,2018-09-21,13:00:00,Urbana,Avenida,AV ARTIGAS,,-27.47597,-58.81963,0.0,1.0,0.0,1.0,0.0,Atropello a animal/es,1,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,2018,September,21
48843,2018-08-12,10:10:00,Urbana,Avenida,AV FRONDIZI,JULIO VERNE,-27.50765,-58.79788,0.0,1.0,0.0,1.0,0.0,Colisión entre vehículos,1,Asfalto,Apto,Seca,Día,SI,Despejado,Buena,Sin Semáforo,2018,August,12
48833,2018-08-11,05:06:00,Urbana,Avenida,AV 3 DE ABRIL,GUTEMBERG,-27.47656,-58.83149,1.0,0.0,0.0,1.0,0.0,Colisión entre vehículos,1,Asfalto,Apto,Seca,Amanecer,SI,Despejado,Buena,Funciona,2018,August,11
49126,2018-12-01,11:20:00,Urbana,Avenida,AV MAIPU,GENERAL PAZ,-27.48787,-58.82301,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Funciona,2018,December,1
49092,2018-11-16,07:00:00,Urbana,Calle,LOS ANGELES,,-27.47673,-58.79658,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Tierra,Apto,Seca,Día,NO,,,Sin Semáforo,2018,November,16
48927,2018-09-12,17:00:00,Urbana,Ruta Provincial,RUTA 5,,-27.49175,-58.74707,1.0,0.0,1.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,2018,September,12
49081,2018-11-09,16:15:00,Urbana,Avenida,AVENIDA INDEPENDENCIA,GODOY CHUZ,-27.48377,-58.78971,2.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Atardecer,NO,Despejado,Buena,Funciona,2018,November,9
49167,2018-12-14,08:00:00,Urbana,Calle,CARTAGENA,MEDRANO,-27.49634,-58.80029,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,"Despejada, Seca",Día,NO,Despejado,Buena,Sin Semáforo,2018,December,14
49030,2018-10-20,21:30:00,Urbana,Avenida,AVENIDA CENTENARIO,,-27.47467,-58.79949,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Noche,SI,Despejado,,Sin Semáforo,2018,October,20
49194,2018-12-27,10:45:00,Urbana,Calle,BUENOS AIRES,,-27.47423,-58.8411,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,,Sin Semáforo,2018,December,27
48808,2018-08-04,01:10:00,Urbana,Avenida,FERRE,,-27.4742,-58.8272,0.0,1.0,0.0,1.0,0.0,Vuelco (solo 1 participante),1,,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,2018,August,4
49136,2018-12-04,07:00:00,Urbana,Calle,SAN MARTIN,RIOJA,-27.46965,-58.8383,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Funciona,2018,December,4
49044,2018-10-27,16:30:00,Urbana,Avenida,AV 3 DE ABRIL,CORDOBA,-27.4757,-58.83543,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,"Despejada, Seca",,NO,Despejado,Buena,Funciona,2018,October,27
49196,2018-12-29,11:45:00,Urbana,Calle,SAN MARTIN,ESPAÑA,-27.47052,-58.82952,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,2018,December,29
49078,2018-11-08,07:45:00,Urbana,Ruta Provincial,RUTA PROVINCIAL 5,PEREZ RUEDA,-27.49198,-58.74681,0.0,4.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,"Despejada, Seca",,NO,Despejado,Buena,Sin Semáforo,2018,November,8
48853,2018-08-20,12:30:00,Urbana,Calle,ESPAÑA,9 DE julio,-27.46696,-58.82914,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Nublado,Buena,,2018,August,20
48991,2018-10-03,10:00:00,Urbana,Calle,MADARIAGA,HEROES CIVILES,-27.48265,-58.83994,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,2018,October,3
49130,2018-12-03,15:05:00,Urbana,Avenida,AV CHACABUCO,LA VALLE,-27.47933,-58.81483,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Funciona,2018,December,3
48965,2018-09-26,10:10:00,Urbana,Avenida,AVENIDA FEDERICO LAPRIDA,LAFERRERE,-27.47077,-58.78767,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,2018,September,26
49065,2018-11-03,07:15:00,Urbana,Avenida,RUTA 12,CENTENARIO,-27.47827,-58.78312,0.0,2.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,,Seca,Día,SI,Despejado,,Sin Semáforo,2018,November,3
48881,2018-08-30,09:00:00,Urbana,Avenida,AV.ARMENIA,,-27.46885,-58.8017,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,2018,August,30
48951,2018-09-20,13:30:00,Urbana,Avenida,AV FERRE,JUJUY,-27.47667,-58.82878,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,,,Sin Semáforo,2018,September,20
48834,2018-08-11,06:44:00,Urbana,Avenida,AV CHACABUCO,LAS HERAS,-27.48305,-58.81555,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Baches,Seca,Amanecer,NO,Despejado,Buena,Funciona,2018,August,11
49111,2018-11-25,07:00:00,Urbana,Calle,MENDOZA,LAS HERAS,-27.48067,-58.83716,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,2018,November,25
49050,2018-10-27,23:01:00,Urbana,Avenida,AV. CHACABUCO,,-27.47214,-58.81302,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,Sin Semáforo,2018,October,27
49170,2018-12-14,11:00:00,Urbana,Avenida,AV GOBERNADOR RUIZ,MEXICO,-27.46776,-58.8141,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,"Despejada, Seca",Día,NO,Despejado,Buena,Funciona,2018,December,14
49117,2018-11-28,13:30:00,Urbana,Avenida,AV. COSTANERA,,-27.4686,-58.85264,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,2018,November,28
48846,2018-08-16,16:40:00,Urbana,Calle,MEDRANO,CARTAGENA,-27.49631,-58.8004,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,,Seca,Día,NO,Despejado,Buena,Sin Semáforo,2018,August,16
49014,2018-10-14,20:50:00,Urbana,Avenida,AVENIDA GOBERNADOR RUIZ,COCOMAROLA,-27.46696,-58.81824,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,Funciona,2018,October,14
49179,2018-12-20,12:10:00,Urbana,Calle,SAN JUAN,BOLIVAR,-27.47087,-58.83708,3.0,0.0,0.0,3.0,0.0,Colisión entre vehículos,3,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,2018,December,20
48995,2018-10-10,17:00:00,Rural,Ruta Nacional,12,,-27.48463,-58.78147,0.0,2.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,,Día,,Despejado,Buena,Sin Semáforo,2018,October,10
49012,2018-10-13,23:20:00,Urbana,Avenida,ARTIGAS,,-27.47454,-58.81919,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,,Noche,SI,Despejado,Buena,Sin Semáforo,2018,October,13
49042,2018-10-25,14:35:00,Urbana,Avenida,AV CHACABUCO,GRAL PAZ,-27.48062,-58.8151,0.0,1.0,0.0,1.0,0.0,Caída desde vehículo,1,Asfalto,Apto,"Despejada, Seca",Día,NO,,,Funciona,2018,October,25
48989,2018-10-01,18:05:00,Urbana,Avenida,AVENIDA MAIPU,MADARIAGA,-27.48625,-58.82338,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Atardecer,NO,Nublado,Buena,Sin Semáforo,2018,October,1
49084,2018-11-12,16:50:00,Urbana,Calle,GUTEMBERG,NECOCHEA,-27.48009,-58.83184,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Atardecer,NO,Despejado,Buena,Sin Semáforo,2018,November,12
48937,2018-09-18,00:22:00,Urbana,Calle,PARAGUAY,HIPOLITO IRIGOYEN,-27.46969,-58.82674,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,,2018,September,18
49175,2018-12-18,12:40:00,Urbana,Calle,MENDOZA,PLACIDO MARTINEZ,-27.46205,-58.83497,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,Mojada,,NO,Lluvia,Buena,Sin Semáforo,2018,December,18
